City,edges,lines,tickets,total points,state,lat,long
Atlanta,5,7,2,15,GA,33.844371,-84.47405
Boston,2,4,1,12,MA,42.370567,-71.026964
Calgary,4,4,2,20,Canada,51.059415,-114.082416
Charleston,3,3,0,0,SC,32.780326,-79.940844
Chicago,5,7,3,32,IL,41.902042,-87.658544
Dallas,4,6,1,11,TX,32.781179,-96.790329
Denver,7,9,2,15,CO,39.726303,-104.856808
Duluth,6,7,2,18,MN,47.005566,-92.001934
El Paso,6,6,2,14,TX,31.763608,-106.484592
Helena,7,7,1,8,MT,46.527398,-112.21037
Houston,3,4,3,25,TX,29.813142,-95.309789
Kansas City,4,8,1,5,MO,39.102404,-94.598583
Las Vegas,2,2,0,0,NV,36.301068,-115.206969
Little Rock,5,5,1,11,AR,34.746481,-92.289595
Los Angeles,4,5,5,72,CA,33.973951,-118.248405
Miami,3,3,4,51,FL,25.893664,-80.181539
Montreal,4,5,3,42,Canada,45.524035,-73.585243
Nashville,5,5,2,25,TN,36.165688,-86.778098
New Orleans,4,5,2,20,LA,30.068812,-89.930956
New York City,4,7,5,67,NY,40.702898,-74.010241
Oklahoma City,7,9,1,8,OK,35.491608,-97.562817
Omaha,5,7,0,0,NE,41.291736,-96.171104
Phoenix,4,4,2,24,AZ,33.476901,-112.082508
Pittsburgh,7,9,1,11,PA,40.47441,-79.950968
Portland,3,5,2,28,OR,45.507856,-122.690794
Raleigh,5,7,0,0,NC,35.447916,-82.164013
Saint Louis,5,7,0,0,MO,38.631501,-90.19231
Salt Lake City,5,7,1,7,UT,40.756095,-111.900719
San Francisco,3,6,0,0,CA,37.784827,-122.727802
Santa Fe,4,4,2,22,NM,35.697473,-105.982146
Sault St Marie,4,4,2,16,MI,46.490975,-84.363582
Seattle,4,6,2,29,WA,47.432251,-121.803388
Toronto,5,5,1,10,Canada,43.664277,-79.404175
Vancouver,2,3,2,33,BC,49.256167,-123.13065
Washington,3,5,0,0,DC,38.895112,-77.036366
Winnipeg,4,4,2,23,Canada,49.873845,-97.146753
